English	Marathi
"What's it sound like?","He kay sound deto?"
"What's it sound like?","He kay sound deto?"
"What's that building?","He building kay ahe?"
"What's the big hurry?","He khup hasti kay ahe?"
"What's the commotion?","He kay ghatna ahe?"
"What's the commotion?","He kay ghatna ahe?"
"What's the deal here?","Ithe kay deal ahe?"
"What's the emergency?","He kay emergency ahe?"
"What's the emergency?","He kay emergency ahe?"
"What's the next stop?","Next stop kay ahe?"
"What's the plan, Tom?","Tom, plan kay ahe?"
"What's their purpose?","Tyanchya uddesh kay ahe?"
"What's troubling you?","Tumhala kay dukha deto?"
"What's troubling you?","Tumhala kay dukha deto?"
"What's wrong with it?","He kay chukicha ahe?"
"When can I visit you?","Mala kadhayla yeu shakto?"
"When can I visit you?","Mala kadhayla yeu shakto?"
"When did he get back?","To kadhi parat aala?"
"When did that happen?","He kadhi zhalay?"
"When did that happen?","He kadhi zhalay?"
"When did that happen?","He kadhi zhalay?"
"When did that happen?","He kadhi zhalay?"
"When did you see him?","Tula tyala kadhi baghitla?"
"When do they need me?","Tyanna mala kadhayla hava ahe?"
"When do they need me?","Tyanna mala kadhayla hava ahe?"
"When does that start?","He kadhi shuru hota?"
"When is good for you?","Tumchya sathi kadhi chhan ahe?"
"When is good for you?","Tumchya sathi kadhi chhan ahe?"
"When was it finished?","He kadhi zhalay?"
"When was it finished?","He kadhi zhalay?"
"When will he be busy?","To kadhi busy honar?"
"When will he go home?","To gharat kadhi jaanar?"
"When will that occur?","He kadhi zhalay?"
"When will we go home?","Aapan gharat kadhi jau?"
"When will you arrive?","Tu kadhi yeu shakto?"
"When will you return?","Tu kadhi parat yeu shakto?"
"When's dinner served?","Dinner kadhi serve hota?"
"When's dinner served?","Dinner kadhi serve hota?"
"When's dinner served?","Dinner kadhi serve hota?"
"Where are Tom's keys?","Tom cha keys kuthe ahet?"
"Where are my clothes?","Majhe kapde kuthe ahet?"
"Where are my glasses?","Majhe chashme kuthe ahet?"
"Where are my parents?","Majhe aai-baba kuthe ahet?"
"Where are the apples?","Seb kuthe ahet?"
"Where are the dishes?","Veshan kuthe ahet?"
"Where are the guards?","Guards kuthe ahet?"
"Where are the knives?","Chakoo kuthe ahet?"
"Where are the meters?","Meters kuthe ahet?"
"Where are the others?","Dusre kuthe ahet?"
"Where are the others?","Dusre kuthe ahet?"
"Where are the others?","Dusre kuthe ahet?"
"Where are they going?","Te kuthe jaat ahet?"
"Where are we exactly?","Aapan exactly kuthe aahot?"
"Where are you headed?","Tu kuthe jaat aahes?"
"Where are you headed?","Tumhi kuthe jaat aahat?"
"Where are you living?","Tu kuthe rahato?"
"Where can I buy silk?","Mi kahi silk kuthe ghetu shakto?"
"Where did you get it?","Tu he kuthe ghetla?"
"Where have they gone?","Te kuthe gela?"
"Where is he standing?","To kuthe ughadla ahe?"
"Where is the library?","Library kuthe ahe?"
"Where is the mistake?","Chuk kuthe ahe?"
"Where is the problem?","Problem kuthe ahe?"
"Where is the station?","Station kuthe ahe?"
"Where is your father?","Tujha baba kuthe ahe?"
"Where is your father?","Tumcha baba kuthe ahe?"
"Where is your father?","Tujha baba kuthe ahe?"
"Where is your school?","Tujha school kuthe ahe?"
"Where is your school?","Tumcha school kuthe ahe?"
"Where is your sister?","Tujhi bahin kuthe ahe?"
"Where shall we begin?","Aapan kadhi shuru karu?"
"Where should we hide?","Aapan kuthe lukhavu?"
"Where's Tom's office?","Tom cha office kuthe ahe?"
"Where's the bathroom?","Toilet kuthe ahe?"
"Where's the director?","Director kuthe ahe?"
"Where's the entrance?","Entrance kuthe ahe?"
"Where's the hospital?","Hospital kuthe ahe?"
"Where's the mail box?","Mail box kuthe ahe?"
"Where's the pharmacy?","Pharmacy kuthe ahe?"
"Where's the pharmacy?","Pharmacy kuthe ahe?"
"Where's the pharmacy?","Pharmacy kuthe ahe?"
"Where's the restroom?","Toilet kuthe ahe?"
"Where's the restroom?","Toilet kuthe ahe?"
"Where's the washroom?","Washroom kuthe ahe?"
"Where's your captain?","Tumcha captain kuthe ahe?"
"Which book is better?","Kona pustak chhan ahe?"
"Which is your guitar?","Tujhi guitar konti ahe?"
"Which is your target?","Tujha target konta ahe?"
"Which is your target?","Tujha goal konta ahe?"
"Which is your target?","Tumcha target konta ahe?"
"Which is your target?","Tumcha goal konta ahe?"
"Which of you will go?","Tumhya madhun konta jael?"
"Which of you will go?","Tumhya madhun konti jael?"
"Who am I speaking to?","Mi kashya sathi bolato?"
"Who are these people?","He lok kone ahet?"
"Who are those people?","Te lok kone ahet?"
"Who are you to judge?","Tu kashya sathi judge karto?"
"Who are you to judge?","Tumhi kashya sathi judge karto?"
"Who are your parents?","Tujhe aai-baba kone ahet?"
"Who are your parents?","Tumche aai-baba kone ahet?"
"Who broke the window?","Khidki kone todli?"
"Who broke the window?","Khidki kone todli?"
"Who coaches the team?","Team la kone train karto?"
"Who deleted the file?","File kone delete kela?"
"Who deleted the file?","File kone delete kela?"
"Who did you vote for?","Tu kashya sathi vote kela?"
"Who did you vote for?","Tumhi kashya sathi vote kela?"
"Who do you know here?","Tu ithe kone mahit ahe?"
"Who do you know here?","Tumhi ithe kone mahit ahe?"
"Who do you know here?","Tu ithe kone mahit ahe?"
"Who do you know here?","Tumhi ithe kone mahit ahe?"
"Who do you live with?","Tu kashya sathi rahato?"
"Who do you live with?","Tumhi kashya sathi rahatat?"
"Who do you live with?","Tu kashya sathi rahato?"
"Who do you live with?","Tumhi kashya sathi rahatat?"
"Who doesn't think so?","Koni hi nahi vicharato?"
"Who else do you miss?","Dusra kone mala miss karto?"
"Who else do you miss?","Dusra kone tumhala miss karto?"
"Who else is with you?","Dusra kone tumchyasathi ahe?"
"Who else is with you?","Dusra kone tumchyasathi ahe?"
"Who gave the command?","Aadesh kone dila?"
"Who gave the command?","Aadesh kone dila?"
"Who invited you guys?","Koni tumhala aamantran dila?"
"Who invited you here?","Koni tumhala ithe aamantran dila?"
"Who invited you here?","Koni tumhala ithe aamantran dila?"
"Who is he talking to?","To kashya sathi bolato?"
"Who is the boss here?","Ithe boss kone ahe?"
"Who let the dogs out?","Koni kutryanna baher gela?"
"Who planted the tree?","Koni vruksha ugavla?"
"Who planted the tree?","Koni vruksha ugavla?"
"Who said I had a gun?","Koni sangitla ki mala gun ahe?"
"Who should I believe?","Mala kashya var vishwas karaycha?"
"Who took care of you?","Koni tujha khayal ghetla?"
"Who took care of you?","Koni tumcha khayal ghetla?"
"Who took the picture?","Koni photo ghetla?"
"Who unplugged the TV?","Koni TV unplug kela?"
"Who was sitting here?","Ithe kone basla hota?"
"Who wrote the letter?","Koni chitthi lihila?"
"Who's Tom looking at?","Tom kashya kade baghato?"
"Who's coming with me?","Kona sathi yeu shakto?"
"Who's going to drive?","Kona drive karaycha?"
"Who's ready for more?","Kona adhik sathi tayar ahe?"
"Who's ready to order?","Kona order denyasathi tayar ahe?"
"Who's your boyfriend?","Tujha boyfriend kone ahe?"
"Who's your boyfriend?","Tujha boyfriend kone ahe?"
"Who's your boyfriend?","Tujha jules kone ahe?"
"Whose camera is this?","He camera kachya ahe?"
"Whose friend are you?","Tu kashya sathi mitra ahe?"
"Whose guitar is this?","He guitar kachya ahe?"
"Whose guitar is this?","He guitar kachya ahe?"
"Whose office is this?","He office kachya ahe?"
"Whose pencil is this?","He pencil kachya ahe?"
"Why am I still alive?","Mi aaj hi alive kashya ahe?"
"Why are you all here?","Tumhi sagle ithe kashya ahe?"
"Why are you all here?","Tumhi sagle ithe kashya ahe?"
"Why are you all here?","Tumhi sagle ithe kashya ahe?"
"Why are you all here?","Tumhi sagle ithe kashya ahe?"
"Why are you bleeding?","Tu kashya sathi rakt padto?"
"Why are you so angry?","Tu kashya sathi khup gussa ahe?"
"Why are you so angry?","Tumhi kashya sathi khup gussa ahe?"
"Why are you so happy?","Tu kashya sathi khup khush ahe?"
"Why are you so happy?","Tumhi kashya sathi khup khush ahe?"
"Why are you so happy?","Tumhi kashya sathi khup khush ahe?"
"Why are you so happy?","Tu kashya sathi khup khush ahe?"
"Why are you so tired?","Tu kashya sathi khup thakla ahe?"
"Why are you so tired?","Tumhi kashya sathi khup thakle ahe?"
"Why are you so tired?","Tumhi kashya sathi khup thakle ahe?"
"Why are you so tired?","Tumhi kashya sathi khup thakle ahe?"
"Why are you so tired?","Tumhi kashya sathi khup thakle ahe?"
"Why are you studying?","Tu kashya sathi shikto?"
"Why aren't you ready?","Tu tayar kashya nahi ahe?"
"Why bother fixing it?","He theek karayla kashya?"
"Why can't we do that?","Aapan he kashya nahi karu shakto?"
"Why did Tom call you?","Tom ne tujha kashya sathi call kela?"
"Why did Tom call you?","Tom ne tujha kashya sathi call kela?"
"Why did he come here?","To ithe kashya sathi aala?"
"Why did they do that?","Te kashya sathi he kela?"
"Why did they do that?","Te kashya sathi he kela?"
"Why did you ditch me?","Tu mala kashya sathi chhodla?"
"Why did you ditch me?","Tu mala kashya sathi chhodli?"
"Why did you shoot me?","Tu mala kashya sathi goli chalavli?"
"Why didn't you do it?","Tu he kashya nahi kela?"
"Why didn't you do it?","Tumhi he kashya nahi kela?"
"Why do I believe you?","Mi tujha var kashya vishwas karto?"
"Why do I believe you?","Mi tumcha var kashya vishwas karto?"
"Why do stars twinkle?","Sitare kashya chamaktat?"
"Why do you ignore me?","Tu mala kashya ignore karto?"
"Why do you need them?","Tujhya kashya sathi lagtat?"
"Why do you need them?","Tumhala kashya sathi lagtat?"
"Why do you permit it?","Tu he kashya parvaangi karto?"
"Why do you permit it?","Tumhi he kashya parvaangi karto?"
"Why don't I call you?","Mi tujha kashya nahi call karto?"
"Why don't we all run?","Aapan sagle daudayla kashya nahi?"
"Why don't we all run?","Aapan sagle daudayla kashya nahi?"
"Why don't you answer?","Tu kashya nahi uttar karto?"
"Why don't you answer?","Tumhi kashya nahi uttar karto?"
"Why don't you listen?","Tu kashya nahi aikhato?"
"Why don't you listen?","Tumhi kashya nahi aikhata?"
"Why haven't we begun?","Aapan kashya nahi shuru kela?"
"Why is he doing this?","To he kashya sathi karto?"
"Why is he so popular?","To kashya sathi khup popular ahe?"
"Why is she so silent?","Ti kashya sathi khup shant ahe?"
"Why is that so funny?","He kashya sathi khup funny ahe?"
"Why not come with me?","Tu mala sathi yeu shakto ka?"
"Why wasn't Tom there?","Tom ithe kashya nahi hota?"
"Why's Tom still here?","Tom ithe kashya ahe?"
"Will he be here soon?","To jald ithe yeil ka?"
"Will it snow tonight?","Aaj raat barf padayla shakto ka?"
"Will surgery help it?","Surgery he kashya madhe madat karu shakto ka?"
"Will surgery help it?","Surgery he kashya madhe madat karu shakto ka?"
"Will the police come?","Police yeu shakto ka?"
"Will you come or not?","Tu yeu shakto ka ki nahi?"
"Will you wait for me?","Tu mala thambayla yeu shakto ka?"
"Wipe your face clean.","Tumcha chehra dhula."
"Would you like a dog?","Tumhala ek kutra hava ka?"
"Would you like to go?","Tumhala jaayla hava ka?"
"Would you step aside?","Tu thodi baju hote ka?"
"Would you step aside?","Tumhi thodi baju hote ka?"
"Would you step aside?","Tumhi thodi baju hote ka?"
"Would you step aside?","Tu thodi baju hote ka?"
"Write down each word.","Pratyek shabd likha."
"Write down each word.","Pratyek shabd likha."
"Write your full name.","Tumcha poorn naav likha."
"Write your full name.","Tumcha poorn naav likha."
"Yesterday was Sunday.","Gela divas Sunday hota."
"You are a bad person.","Tu ek chukicha manas aahes."
"You are a bad person.","Tumhi ek chukicha manas aahat."
"You are a workaholic.","Tu ek workaholic aahes."
"You are new students.","Tumhi naveen vidyarthi aahat."
"You are not Japanese.","Tu Japanese nahi aahes."
"You are not Japanese.","Tu Japanese nahi aahes."
"You are not Japanese.","Tumhi Japanese nahi aahat."
"You are not Japanese.","Tumhi Japanese nahi aahat."
"You are not Japanese.","Tumhi Japanese nahi aahat."
"You are not a coward.","Tu ek laach nahi aahes."
"You are not a coward.","Tumhi ek laach nahi aahat."
"You are not a doctor.","Tumhi doctor nahi aahat."
"You are now an adult.","Tu ata ek adult aahes."
"You are under arrest.","Tumhala arrest zhala ahe."
"You are welcome here.","Tu ithe swagat aahes."
"You are welcome here.","Tumhi ithe swagat aahat."
"You are what you eat.","Tu je khatat te aahes."
"You aren't my mother.","Tu majhi aai nahi aahes."
"You aren't my mother.","Tumhi majhi aai nahi aahat."
"You can bank on that.","Tu he var vishwas karu shakto."
"You can come with us.","Tu aamchya sathit yeu shakto."
"You can count on Tom.","Tu Tom var vishwas karu shakto."
"You can count on her.","Tya var vishwas karu shakto."
"You can count on him.","Tyavar vishwas karu shakto."
"You can count on him.","Tyavar vishwas karu shakto."
"You can depend on it.","Tu he var aashrit rahu shakto."
"You can depend on it.","Tumhi he var aashrit rahu shakto."
"You can fix all this.","Tu he sarva theek karu shakto."
"You can fix all this.","Tumhi he sarva theek karu shakto."
"You can fix all this.","Tu he sarva theek karu shakto."
"You can sit down now.","Tu ata basu shakto."
"You can sit down now.","Tumhi ata basu shakto."
"You can't be serious.","Tu khup serious nahi aahes."
"You can't be serious.","He khup khara nahi ahe."
"You can't be serious.","He khup khara nahi ahe."
"You can't be so sure.","Tu khup nishchit nahi rahu shakto."
"You can't change Tom.","Tu Tom la badalhu shakto nahi."
"You can't change Tom.","Tumhi Tom la badalhu shakto nahi."
"You can't control me.","Tu mala control nahi karu shakto."
"You can't control me.","Tumhi mala control nahi karu shakto."
"You can't go outside.","Tu baher nahi jau shakto."
"You can't go outside.","Tumhi baher nahi jau shakto."
"You can't prove that.","Tu he pramanit nahi karu shakto."
"You can't smoke here.","Ithe smoking nahi karu shakto."
"You can't smoke here.","Ithe smoking nahi karu shakto."
"You cannot swim here.","Ithe tu swimming nahi karu shakto."
"You crossed the line.","Tu line par zhalay."
"You crossed the line.","Tu line par zhalay."
"You don't have to go.","Tu jaayla nahi hava."
"You don't have to go.","Tumhala jaayla nahi hava."
"You don't have to go.","Tumhala jaayla nahi hava."
"You don't have to go.","Tu jaayla nahi hava."
"You don't have to go.","Tumhala jaayla nahi hava."
"You don't have to go.","Tu jaayla nahi hava."
"You don't have to go.","Tumhala jaayla nahi hava."
"You don't have to go.","Tu jaayla nahi hava."
"You don't have to go.","Tumhala jaayla nahi hava."
"You don't have to go.","Tu jaayla nahi hava."
"You don't have to go.","Tumhala jaayla nahi hava."
"You don't impress me.","Tu mala prabhavit nahi karto."
"You don't need a lot.","Tula khup nahi hava."
"You don't understand.","Tu samajhato nahi."
"You don't understand.","Tumhi samajhato nahi."
"You forgot your coat.","Tu majha coat visarla."
"You go on without me.","Tu mala parat nahi gela."
"You go on without me.","Tumhi mala parat nahi gela."
"You got it all wrong.","Tu sarva chukicha samjhla."
"You got it all wrong.","Tumhi sarva chukicha samjhla."
"You have been warned.","Tula warning milali ahe."
"You have been warned.","Tula warning milali ahe."
"You have been warned.","Tumhala warning milali ahe."
"You have been warned.","Tumhala warning milali ahe."
"You have been warned.","Tumhala warning milali ahe."
"You have been warned.","Tumhala warning milali ahe."
"You have been warned.","Tumhala warning milali ahe."
"You have been warned.","Tumhala warning milali ahe."
"You have been warned.","Tula warning milali ahe."
"You have been warned.","Tula warning milali ahe."
"You have betrayed us.","Tu aamchya var dhokha kela."
"You have no evidence.","Tula kahi praman nahi ahe."
"You have no evidence.","Tumhala kahi praman nahi ahe."
"You have no messages.","Tula kahi messages nahi ahe."
"You have no messages.","Tumhala kahi messages nahi ahe."
"You have not seen it.","Tula he nahi baghitla."
"You have our respect.","Tula aamcha respect ahe."
"You have our respect.","Tumhala aamcha respect ahe."
"You have to hurry up.","Tu jaldi karayla hava."
"You have to keep fit.","Tu fit rahayla hava."
"You have to stay fit.","Tumhala fit rahayla hava."
"You have to stay fit.","Tu fit rahayla hava."
"You have to stay fit.","Tumhala fit rahayla hava."
"You have to stay fit.","Tu fit rahayla hava."
"You have to trust me.","Tu mala vishwas karayla hava."
"You have to trust me.","Tumhala mala vishwas karayla hava."
"You hurt my feelings.","Tu mala dukha dila."
"You hurt my feelings.","Tumhala mala dukha dila."
"You keep out of this.","Tu he thev."
"You killed my father.","Tu majha baba marla."
"You killed my mother.","Tu majhi aai marli."
"You killed my mother.","Tumhi majhi aai marli."
"You knew, didn't you?","Tu mahit hota, nahi ka?"
"You knew, didn't you?","Tumhala mahit hota, nahi ka?"
"You lack imagination.","Tu kalpana nahi karu shakto."
"You lack imagination.","Tumhala kalpana nahi karu shakto."
"You live in my heart.","Tu majhya hridayat rahato."
"You look happy today.","Tu aaj khup khush disatos!"
"You look happy today.","Tumhi aaj khup khush disata!"
"You look happy today.","Tumhi aaj khup khush disata!"
"You look happy today.","Tu aaj khup khush disatos!"
"You look like a girl.","Tu mulgi sarkha disatos."
"You look like a girl.","Tumhi mulgi sarkha disata."
"You look really good.","Tu khup chhan disatos."
"You look really good.","Tumhi khup chhan disata."
"You look so handsome.","Tu khup sundar disatos."
"You look so handsome.","Tumhi khup sundar disata."
"You looked exhausted.","Tu khup thakla disatos."
"You lost, didn't you?","Tu gela, nahi ka?"
"You lost, didn't you?","Tumhi gela, nahi ka?"
"You made it possible.","Tu he sambhav kela."
"You made it possible.","Tumhi he sambhav kela."
"You may speak to him.","Tu tyala bolu shakto."
"You may use this car.","Tu he car vapru shakto."
"You mean a lot to me.","Tu mala khup mahatvacha aahes."
"You might be correct.","Tu yogya asu shakto."
"You must be cautious.","Tu dhyanane rahu shakto."
"You must be cautious.","Tumhala dhyanane rahu shakto."
"You must be cautious.","Tu dhyanane rahu shakto."
"You must be cautious.","Tumhala dhyanane rahu shakto."
"You must be cautious.","Tumhala dhyanane rahu shakto."
"You must be cautious.","Tumhala dhyanane rahu shakto."
"You must be cautious.","Tumhala dhyanane rahu shakto."
"You must be cautious.","Tumhala dhyanane rahu shakto."
"You must be cautious.","Tumhala dhyanane rahu shakto."
"You must be cautious.","Tumhala dhyanane rahu shakto."
"You must be starving.","Tu khup bhokal ahe."
"You must be starving.","Tumhi khup bhokal ahe."
"You must do as I say.","Tu majhya sangitla praman kar."
"You must do as I say.","Tumhala majhya sangitla praman karaycha ahe."
"You need to fix this.","Tu he theek karayla hava."
"You need to fix this.","Tumhala he theek karayla hava."
"You need to sober up.","Tu dessoal karayla hava."
"You need to sober up.","Tumhala dessoal karayla hava."
"You overestimate him.","Tu tyala khup mahatvacha samjha."
"You overestimate him.","Tumhi tyala khup mahatvacha samjha."
"You owe me something.","Tu mala kahi detos."
"You owe me something.","Tumhi mala kahi dete."
"You pay me very well.","Tumhi mala khup chhan pay karto."
"You said it yourself.","Tu khud sangitla."
"You said it yourself.","Tumhi khud sangitla."
"You said it yourself.","Tumhi khud sangitli."
"You seem happy today.","Tu aaj khup khush disatos."
"You should apologize.","Tu maafi ghyayla hava."
"You should apologize.","Tu maafi ghyayla hava."
"You should apologize.","Tumhala maafi ghyayla hava."
"You should apologize.","Tumhala maafi ghyayla hava."
"You should go to bed.","Tu jhopayla jaayla hava."
"You should go to bed.","Tu jhopayla jaayla hava."
"You should go to bed.","Tumhala jhopayla jaayla hava."
"You should not sleep.","Tu jhopayla nahi hava."
"You should not sleep.","Tumhala jhopayla nahi hava."
"You should stop that.","Tumhala he band karayla hava."
"You should thank him.","Tumhala tyala dhanyavad karayla hava."
"You should try it on.","Tu he try karayla hava!"
"You should try it on.","Tumhala he try karayla hava!"
"You should work hard.","Tu khup kashta karayla hava."
"You should've called.","Tu call karayla hava hota."
"You should've phoned.","Tu phone karayla hava hota."
"You snooze, you lose.","Tu thamba, tu gela."
"You snooze, you lose.","Tu thamba, tu gela."
"You talk really fast.","Tu khup fast boltos."
"You talk really fast.","Tumhi khup fast boltat."
"You touched my heart.","Tu mala dukha dila."
"You touched my heart.","Tumhi mala dukha dila."
"You touched my heart.","Tu mala dukha dila."
"You touched my heart.","Tumhi mala dukha dila."
"You were great today.","Tu aaj khup chhan hota."
"You were great today.","Tu aaj khup chhan hoti."
"You were great today.","Tumhi aaj khup chhan hota."
"You will regret this.","Tu he pashchatap karshil."
"You will regret this.","Tumhi he pashchatap karshil."
"You won't believe it.","Tu he vishwas nahi karshil."
"You won't believe it.","Tu he vishwas nahi karshil."
"You won't believe it.","Tumhi he vishwas nahi karshil."
"You won't need those.","Tula he lagna nahi."
"You won't need those.","Tumhala he lagna nahi."
"You'd better come in.","Tu andar yeu shaktos."
"You'd better go home.","Tu gharat jaayla hava."
"You'd better go home.","Tumhala gharat jaayla hava."
"You'd better go home.","Tu gharat jaayla hava."
"You'd better go home.","Tumhala gharat jaayla hava."
"You'll be in trouble.","Tu kashtat rahil."
"You'll be in trouble.","Tumhi kashtat rahil."
"You'll get over this.","Tu he parat theek karshil."
"You'll get over this.","Tumhi he parat theek karshil."
"You'll have to drive.","Tu ghalayla hava."
"You'll have to drive.","Tumhala ghalayla hava."
"You're German, right?","Tu German aahes, nahi ka?"
"You're a filthy liar!","Tu ek khup jhoot bolto!"
"You're a filthy liar!","Tu ek khup jhoot bolti!"
"You're a filthy liar!","Tumhi ek khup jhoot boltat!"
"You're a filthy liar!","Tumhi ek khup jhoot boltat!"
"You're a little late.","Tu thoda tard aahes."
"You're a little late.","Tumhi thoda tard aahat."
"You're a little liar.","Tu ek thodi jhoot bolto."
"You're a little liar.","Tu ek thodi jhoot bolti."
"You're a little liar.","Tumhi ek thodi jhoot boltat."
"You're a total wreck.","Tu ek khup chukicha ahe."
"You're a total wreck.","Tumhi ek khup chukicha ahe."
"You're a true friend.","Tu ek khara mitra aahes."
"You're a true friend.","Tu ek khara mitra aahes."
"You're being watched.","Tu baghitla jaat aahes."
"You're conscientious.","Tu khup dhyanane rahato."
"You're conscientious.","Tumhi khup dhyanane rahatat."
"You're conscientious.","Tu khup dhyanane rahato."
"You're conscientious.","Tumhi khup dhyanane rahatat."
"You're double-parked.","Tu double parking madhe aahes."
"You're double-parked.","Tumhi double parking madhe aahes."
"You're double-parked.","Tu double parking madhe aahes."
"You're double-parked.","Tumhi double parking madhe aahes."
"You're double-parked.","Tumhi double parking madhe aahes."
"You're double-parked.","Tumhi double parking madhe aahes."
"You're going to lose.","Tu gela."
"You're going to lose.","Tumhi gela."
"You're going too far.","Tu khup door jaatos."
"You're just a coward.","Tu ek laach aahes."
"You're never at home.","Tu kadhi hi gharat nahi aahes."
"You're never at home.","Tumhi kadhi hi gharat nahi aahat."
"You're not a suspect.","Tu suspect nahi aahes."
"You're not a suspect.","Tumhi suspect nahi aahat."
"You're not one of us.","Tu aamchya madhye nahi aahes."
"You're not one of us.","Tumhi aamchya madhye nahi aahat."
"You're not safe here.","Tu ithe surakshit nahi aahes."
"You're not safe here.","Tumhi ithe surakshit nahi aahat."
"You're not safe here.","Tu ithe surakshit nahi aahes."
"You're not the first.","Tu pahila nahi aahes."
"You're not very good.","Tu khup chaan nahi aahes."
"You're not very tidy.","Tu khup sajag nahi aahes."
"You're opportunistic.","Tu ek opportunist aahes."
"You're overconfident.","Tu khup atma-vishwasit aahes."
"You're overemotional.","Tu khup bhavna-prabhavit aahes."
"You're putting me on.","Tu mala majak kartoy."
"You're still growing.","Tu aatahi vikasit hota aahes."
"You're such an idiot!","Tu ek idiot aahes!"
"You're temperamental.","Tu lunatic aahes."
"You're the scapegoat.","Tu bouc émissaire aahes."
"You're totally right.","Tu puri sahi aahes."
"You're unforgettable.","Tu unhe bhulayla nahi milto."
"You're very flexible.","Tu khup flexible aahes."
"You're very generous.","Tu khup udar aahes."
"You're very talented.","Tu khup pratibhashali aahes."
"You're wasting water.","Tu paani zasta ghashtoy."
"You've been infected.","Tu infect zala aahes."
"You've been selected.","Tu chuna zala aahes."
"You've got my helmet.","Tu mala helmet ghetla aahes."
"You've grown up, Tom.","Tu bada zala aahes, Tom."
"You've hurt me a lot.","Tu mala khup dukhavla aahes."
"You've misunderstood.","Tu samajhanya madhe chukla aahes."
"You've risked enough.","Tu khup jokhim ghetli aahes."
"Your answer is right.","Tujha uttar sahi aahes."
"Your answer is wrong.","Tujha uttar chukla aahes."
"Your dog is very big.","Tula dog khup motha aahes."
"Your mother loves me.","Tujhi aai mala avadate."
"Your nose is running.","Tujha nakh khulato ahe."
"Your phone's ringing.","Tujha phone vaajto ahe."
"Your pulse is normal.","Tujha pulse normal ahe."
"Your son is a genius.","Tujha putra ek genius aahes."
"Says who? Says me.","Koni? Mi."
"A dolphin is a mammal.","Ek dolphin ek mammal ahe."
"A guard's been killed.","Ek guard hatavla gela ahe."
"A little bird told me.","Ek chhoti pakshi mala sangitla."
"A table has four legs.","Ek table la chaar paay ahet."
"A week has seven days.","Ek hafta sath divas ahe."
"Above all, be patient.","Sarvacha, dhairyavaan raha."
"Accidents will happen.","Durgatna hotat."
"Afghanistan is at war.","Afghanistan yuddhat ahe."
"All lawyers are liars.","Sarva wakil chhalya ahet."
"All of them were gone.","Te sagle gela hote."
"All of us were silent.","Aamhi sagle shant hote."
"All our money is gone.","Aamcha sagla paisa gela."
"All right, I'll do it.","Thik ahe, mi karen."
"All the boys ran away.","Sagle mulga palale."
"All the eggs went bad.","Sagle anda kharab zhale."
"All the food was gone.","Sagli khana gela."
"All the money is gone.","Sagle paisa gela."
"All three of us agree.","Aamhi teenhi sahmat aahot."
"All we can do is hope.","Aamhi je karu shakto te aasha ahe."
"All we can do is wait.","Aamhi je karu shakto te thambayla ahe."
"Always arrive on time.","Sadaiv samayavar ye."
"Am I cleared for duty?","Mi sewa sathi tayar aahes ka?"
"Am I talking too fast?","Mi khup vegane bolat aahes ka?"
"Am I that transparent?","Mi ticha transparent aahes ka?"
"And now, it's my turn!","Ani ata, majhya turn aala!"
"Any child can do that.","Koi hi balak he karu shakto."
"Any time will suit me.","Kahi hi vel mala yogya ahe."
"Anybody could do this.","Koi hi he karu shakto."
"Anything could happen.","Kahi hi ghatu shakto."
"Anything will be fine.","Kahi hi chalu ahe."
"Anyway, I did my best.","Kahi hi asu dila, mi majhya best kela."
"Are there any bananas?","Banana aahet ka?"
"Are these your things?","He tumche vastu aahet ka?"
"Are they all the same?","Te sagle ekach aahet ka?"
"Are they still in bed?","Te aata hi bhetat ka?"
"Are things going well?","Sanghatit chalu aahe ka?"
"Are those my earrings?","He majhya bangle aahet ka?"
"Are we disturbing you?","Aamhi tumhala disturb kartoy ka?"
"Are you a law student?","Tu ek law student aahes ka?"
"Are you a team player?","Tu ek team player aahes ka?"
"Are you all right now?","Tu ata chaan aahes ka?"
"Are you allowed to go?","Tumhala jaayla parwaaz ahe ka?"
"Are you an only child?","Tu ek matra mulga aahe ka?"
"Are you as tall as me?","Tu majhya kadar lambaa aahe ka?"
"Are you ashamed of me?","Tu mala laaj kartoy ka?"
"Are you being serious?","Tu kharach serious aahes ka?"
"Are you coming or not?","Tu yeu ka nahi?"
"Are you dating anyone?","Tu kashya sobat aahes ka?"
"Are you enjoying this?","Tu he enjoy kartoy ka?"
"Are you free tomorrow?","Tu udya free aahes ka?"
"Are you getting tired?","Tu thakla aahes ka?"
"Are you having dinner?","Tu dinner karat aahes ka?"
"Are you hungry at all?","Tu bhookla aahes ka?"
"Are you hurt anywhere?","Tu kahi jagah hurt zala aahes ka?"
"Are you in a bad mood?","Tu kharab mood madhe aahes ka?"
"Are you looking at me?","Tu mala bakat aahes ka?"
"Are you losing weight?","Tu wajan ghatat aahes ka?"
"Are you picking on me?","Tu mala chalu kartoy ka?"
"Are you seeing anyone?","Tu kahi sobat aahe ka?"
"Are you seriously ill?","Tu kharach arogya nahi aahes ka?"
"Are you still at home?","Tu aata hi gharat aahes ka?"
"Are you still at work?","Tu aata hi work madhe aahes ka?"
"Are you still jealous?","Tu aata hi jealous aahes ka?"
"Are you still married?","Tu aata hi married aahes ka?"
"Are you talking to me?","Tu mala bolat aahes ka?"
"Are you working today?","Tu aaj kaam karat aahes ka?"
"Are your parents home?","Tujhe aai-baba gharat aahet ka?"
"Ask Tom to explain it.","Tom la samjha."
