English,Marathi
I'll change.,Mi badal karen.
I'll decide.,Mi nirnay gheto.
I'll get in.,Mi madhe yeto.
I'll get it.,Mi te ghen.
I'll get up.,Mi uthto.
I'll go now.,Mi ata jato.
I'll go see.,Mi pahayala jato.
I'll manage.,Mi sarabhar karto.
I'll scream.,Mi akshar karto.
I'll try it.,Mi te prayatna karto.
"I'm 17, too.",Mila pan satarah varshe aahet.
I'm Finnish.,Mi Finnish aahe.
I'm Italian.,Mi Italian aahe.
I'm a baker.,Mi ek baker aahe.
I'm all set.,Mi sarva tayar aahe.
I'm ashamed.,Mala laaj vattate.
I'm at home.,Mi gharat aahe.
I'm baffled.,Mi vismit aahe.
I'm blessed.,Mi ashirvaadit aahe.
I'm careful.,Mi saavdhan aahe.
I'm certain.,Mi khatra aahe.
I'm chicken.,Mala bheeti vattate.
I'm correct.,Mi thik aahe.
I'm curious.,Mi utsuki aahe.
I'm dancing.,Mi naacho aahe.
I'm dieting.,Mi diet karto aahe.
I'm driving.,Mi chalavo aahe.
I'm engaged.,Mi sangat aahe.
I'm excited.,Mi utteejit aahe.
I'm fasting.,Mi upvas karto aahe.
I'm finicky.,Mi krupan aahe.
I'm frantic.,Mi ghabarala aahe.
I'm furious.,Mi krodhat aahe.
I'm healthy.,Mi arugya aahe.
I'm humming.,Mi gungunato aahe.
I'm in luck.,Mala chaan avadla aahe.
I'm jealous.,Mala harsoos vattato.
I'm jittery.,Mala ghabraavi vattate.
I'm kidding.,Mi mazak karto aahe.
I'm leaving.,Mi nighato aahe.
I'm married.,Mi lagna kela aahe.
I'm no fool.,Mi moorakh nahi aahe.
I'm no hero.,Mi hero nahi aahe.
I'm no liar.,Mi jhootay nahi aahe.
I'm not fat.,Mi motta nahi aahe.
I'm not mad.,Mi pagal nahi aahe.
I'm not old.,Mi zasta nahi aahe.
I'm not sad.,Mi udas nahi aahe.
I'm not shy.,Mi laaj nahi aahe.
I'm on duty.,Mi duty var aahe.
I'm patient.,Mi sahaanubhuti aahe.
I'm popular.,Mi lokpriya aahe.
I'm psyched.,Mi utteejit aahe.
I'm psychic.,Mi mantra aahe.
I'm puzzled.,Mi vismit aahe.
I'm reading.,Mi vaachato aahe.
I'm relaxed.,Mi shant aahe.
I'm retired.,Mi naukri mukta aahe.
I'm selfish.,Mi swaartha aahe.
I'm serious.,Mi gambhir aahe.
I'm shocked.,Mi vismit aahe.
I'm sincere.,Mi nishkapat aahe.
I'm sloshed.,Mi nashili aahe.
I'm so full.,Mi jasta bharan aahe.
I'm starved.,Mala bhook lagli aahe.
I'm staying.,Mi thambu aahe.
I'm stuffed.,Mi bharan aahe.
I'm stunned.,Mi vismit aahe.
I'm talking.,Mi bolu aahe.
I'm teasing.,Mi mazak karto aahe.
I'm thirsty.,Mala thandee lagli aahe.
I'm through.,Mi purn zalo aahe.
I'm too fat.,Mi jasta motta aahe.
I'm touched.,Mi sparshat aahe.
I'm unhappy.,Mi udas aahe.
I'm unlucky.,Mala chaan avadla nahi.
I'm wealthy.,Mi dhanwan aahe.
I'm winning.,Mi jinkato aahe.
I'm working.,Mi kaam karto aahe.
I'm worried.,Mala chinta aahe.
I've failed.,Mi kharap zalo aahe.
Ignore them.,Tyanna ignore kara.
Is Tom sure?,Tom khatra aahe ka?
Is he right?,To thik aahe ka?
Is it clean?,Te saaf aahe ka?
Is it clear?,Te sapha aahe ka?
Is it dirty?,Te ganda aahe ka?
Is it fatal?,Te maranatmak aahe ka?
Is it legal?,Te kaidesheer aahe ka?
Is it ready?,Te tayar aahe ka?
Is it to go?,Te nighun jaaycha aahe ka?
Is it yours?,He tujha aahe ka?
Is she gone?,Ti nighun geli ka?
Is that all?,He sarva aahe ka?
Is that you?,He tu aahe ka?
It can't be!,He shaky nahi!
It is foggy.,Dhund aahe.
It may snow.,Paavas yeu shakto.
It was long.,Te deergh hota.
It's 50 yen.,He pannaas yen aahe.
It's Monday.,Aaj somvaar aahe.
It's a doll.,He ek putala aahe.
It's a song.,He ek geet aahe.
It's all OK.,Sarva thik aahe.
It's broken.,Te tootla aahe.
It's cloudy.,Aakaash meghali aahe.
It's ironic.,He vyangya aahe.
It's locked.,Te kulla aahe.
It's my job.,He maza kaam aahe.
It's my son.,He maza mool aahe.
It's no use.,Tyacha upayog nahi.
It's not us.,He aamhi nahi aahe.
It's poison.,He visa aahe.
It's secret.,He guppit aahe.
It's silent.,He maun aahe.
It's stupid.,He moorakh aahe.
It's urgent.,He jhatpat aahe.
It's warmer.,He tapat aahe.
Just say no.,Fakt nahi mhana.
Keep trying.,Prayatna chalu theva.
Let me help.,Mala madat kara.
Let me know.,Mala khabar de.
Let me talk.,Mala bola.
Let's begin.,Chala suru karu.
Let's dance.,Chala naachu.
Let's do it!,Chala te karu!
Let's do it.,Chala te karu.
Let's drink.,Chala piyuya.
Let's hurry.,Chala jhatpat chala.
Let's split.,Chala vichakle.
Let's start!,Chala suru karu!
Life is fun.,Jeevan mazedar aahe.
Look around.,Parikrama kara.
Lunch is on.,Lunch tayar aahe.
Make a list.,Yadi tyyar kara.
Make a wish.,Ek ichchha kara.
Many thanks.,Khup dhanyavad!
May I begin?,Mi suru karu shakto ka?
Money talks.,Paisa bolto.
Need a lift?,Lift lagte ka?
Nice timing.,Chaan vela!
No means no.,Nahi mhanaje nahi.
No one came.,Koni aala nahi.
No one died.,Koni mela nahi.
No one left.,Koni nighun gela nahi.
Nobody came.,Koni aala nahi.
Nobody died.,Koni mela nahi.
Now I'm sad.,Ata mi udas aahe.
Now we wait.,Ata aamhi vaat karu.
OK. I agree.,Thik aahe. Mi sahamat aahe.
"Oh, come on.","Oh, aata."
Pick a card.,Ek card ghy.
Plants grow.,Paudhe vadhate.
Please come.,Kripaya ye.
Please sing.,Kripaya ga.
Please stop.,Kripaya thamba.
Put it back.,Te parat theva.
Put it down.,Te ghyun theva.
Release him.,Tyala mukt kara.
Remember it.,Te lakshat theva.
Send him in.,Tyala madhe ye de.
Shall we go?,Aamhi javu ka?
She blushed.,Ti laaj zali.
She fainted.,Ti faint zali.
She hit him.,Ti tyala thokla.
She is curt.,Ti thoda thoda bolte.
She is dead.,Ti meli aahe.
She is kind.,Ti dayalu aahe.
She is late.,Ti berz aahe.
She woke up.,Ti uthi.
Sleep tight.,Chaan zhop.
Stand aside.,Ek taraf hote.
Stay in bed.,Zhopayla theva.
Step inside.,Madhe ye.
Stop crying.,Rota nako!
Take a bite.,Ek chota khaa.
Take a card.,Ek card ghy.
Take a look.,Paha.
Take a rest.,Thodi thodi aram kara.
Take a seat.,Basa.
That is all.,He sarva aahe.
That worked.,Te kaam kele.
That's cool.,He chaan aahe.
That's hers.,He ti cha aahe.
That's mine.,He maza aahe.
That's true.,He khare aahe.
That's ugly.,He chhan nahi aahe.
That's wise.,He samajhdar aahe.
The TV's on.,TV on aahe.
There he is.,To ithe aahe.
There it is.,Te ithe aahe.
They burned.,Tyane jhalale.
They got it.,Tyane te ghetla.
They hugged.,Tyane ekmekala godh ghetla.
They smiled.,Tyane hasla.
They're bad.,Te chhan nahi aahet.
They're old.,Te zasta aahet.
This is bad.,He chhan nahi aahe.
This is big.,He motta aahe.
This is fun.,He mazedar aahe.
This is new.,He naveen aahe.
This is odd.,He vichitra aahe.
This stinks.,He durgandhi aahe.
Tom blinked.,Tom ne aankh chalu kela.
Tom drowned.,Tom jhalala.
Tom is dead.,Tom meli aahe.
Tom is nuts.,Tom pagal aahe.
Tom is weak.,Tom durbhal aahe.
Tom laughed.,Tom hasla.
Tom left me.,Tom mala nighun gela.
Tom listens.,Tom sanga.
Tom'll quit.,Tom nighun gela.
Tom's alive.,Tom jivit aahe.
Tom's alone.,Tom ekla aahe.
Tom's bored.,Tom udas aahe.
Tom's funny.,Tom mazedar aahe.
Tom's lying.,Tom jhoot bolto.
Tom's sorry.,Tom maaf kara.
Turn around.,Demi tour kara.
Wait for us.,Aamchya sathi thamb.
Wake Tom up.,Tom la utha.
War is evil.,Yudh durgandh aahe.
Was I wrong?,Mi chukla ka?
We all know.,Aamhi sagle mahit aahe.
We are even.,Aamhi ekatrit aahe.
We are here.,Aamhi ithe aahe.
We are late.,Aamhi berz aahe.
We broke up.,Aamhi alag zhalu.
We can meet.,Aamhi bhetu shakto.
We can talk.,Aamhi bolu shakto.
We can wait.,Aamhi vaat karu shakto.
We can't go.,Aamhi jau shakto nahi.
We did fine.,Aamhi chaan kela.
We did that.,Aamhi te kela.
We found it.,Aamhi te shodhla.
We know him.,Aamhi tyala mahit aahe.
We like Tom.,Aamhi Tom la avadto.
We miss you.,Aamhi tujha avadto.
We must act.,Aamhi karaycha aahe.
We must run.,Aamhi daudaycha aahe.
We must try.,Aamhi prayatna karaycha aahe.
We need Tom.,Aamhala Tom lagto.
We promised.,Aamhi vaada kela.
We remember.,Aamhi lakshat thevto.
We survived!,Aamhi jivala aahe!
We want Tom.,Aamhala Tom lagto.
We'll check.,Aamhi parakhin.
We'll dance.,Aamhi nachu.
We'll drive.,Aamhi chalavoo.
We'll fight.,Aamhi lada.
We'll hurry.,Aamhi jhatpat karu.
We'll share.,Aamhi vibhag karu.
We'll shoot.,Aamhi goli chalavoo.
We'll stand.,Aamhi uthe.
We'll start.,Aamhi shuru karu.
We're alone.,Aamhi ekla aahe.
We're angry.,Aamhi krodhit aahe.
We're bored.,Aamhi udas aahe.
We're broke.,Aamhi gareeb aahe.
We're dying.,Aamhi marat aahe.
We're early.,Aamhi berz aahe.
We're going.,Aamhi nighun jaat aahe.
We're happy.,Aamhi khush aahe.
We're ready.,Aamhi tayar aahe.
We're saved.,Aamhi raksha kelela aahe.
We're smart.,Aamhi intelligent aahe.
We're sorry.,Aamhi maaf kara.
We're stuck.,Aamhi fasla aahe.
We're tired.,Aamhi thakla aahe.
We're twins.,Aamhi jodidaar aahe.
What a bore!,Kasa udas aahe!
What a dope!,Kasa moorkh aahe!
What a drag!,Kasa chukla aahe!
What a mess!,Kasa ganda aahe!
What a pain!,Kasa dukhta aahe!
What a pity!,Kasa dukha aahe!
What a team!,Kasa chaan team aahe!
What is art?,Kala kay aahe?
What was it?,Te kay hota?
What'd I do?,Mi kay kela?
What's that?,He kay aahe?
What's this?,He kay aahe?
Where is he?,To kuthe aahe?
Where was I?,Mi kuthe hota?
Who are you?,Tu kon aahe?
Who is next?,Aata koun aahe?
Who's going?,Kona nighun jaat aahe?
Who's there?,To kuthe aahe?
Whose is it?,He koun aahe?
Will it fit?,Te samavto ka?
Will you go?,Tu nighun jaayla shakto ka?
Work slowly.,Thoda slow kaam kara.
You are big.,Tu motta aahe.
You are mad.,Tu pagal aahe.
You cheated.,Tu chori kela.
You fainted.,Tu faint zala.
You hurt me.,Tu mala dukhta.
You may sit.,Tu basa.
You must go.,Tu jaave lagel.
You're back.,Tu parat aala.
You're cool.,Tu chaan aahe.
You're fair.,Tu nyayik aahe.
You're fine.,Tu thik aahe.
You're free.,Tu mukt aahe.
You're kind.,Tu dayalu aahe.
You're lazy.,Tu aalas aahe.
You're lost.,Tu gela aahe.
You're nice.,Tu chaan aahe.
You're rich.,Tu dhanwan aahe.
You're rude.,Tu khar khar aahe.
You're safe.,Tu surakshit aahe.
You're thin.,Tu patla aahe.
You're weak.,Tu durbhal aahe.
Abandon ship!,Navi nighu de!
All is quiet.,Sarva shant aahe.
All is still.,Sarva thik aahe.
Am I correct?,Mi thik aahe ka?
Anybody here?,Koni ithe aahe ka?
Anybody home?,Koni gharat aahe ka?
Anybody hurt?,Kona zakhmila ka?
Anything new?,Nava kay aahe?
Are we alone?,Aamhi ekla aahe ka?
Are we broke?,Aamhi gareeb aahe ka?
Are we ready?,Aamhi tayar aahe ka?
Are you bald?,Tu chauka aahe ka?
Are you busy?,Tu vyast aahe ka?
Are you deaf?,Tu andha aahe ka?
Are you home?,Tu gharat aahe ka?
Are you hurt?,Tu zakhmila ka?
Are you lost?,Tu gela aahe ka?
Are you sick?,Tu arugya aahe ka?
Are you sure?,Tu khatra aahe ka?
Be attentive.,Sukhay raha.
Be confident.,Aatmanishchit raha!
"Beef, please.",Ek beef ghy.
Bring a date.,Ek dost ghy.
Can I go now?,Mi ata jau shakto ka?
Can I try it?,Mi te prayatna karu shakto ka?
Can he do it?,To te karu shakto ka?
Can we leave?,Aamhi nighu shakto ka?
Can we start?,Aamhi shuru karu shakto ka?
Can you come?,Tu yeu shakto ka?
Can you stay?,Tu thambu shakto ka?
Can you swim?,Tu taru shakto ka?
Can you walk?,Tu chaloo shakto ka?
Check it out!,Te parakh!
Come at once.,Ata ye!
Come help me.,Mala madat kara.
Come quickly!,Lagad ye!
Cut that out!,Te band kara!
Did Tom call?,Tom ne call kela ka?
Did Tom fall?,Tom padla ka?
Did you sign?,Tu sign kela ka?
Did you vote?,Tu vote dila ka?
Do I look OK?,Mi thik disato ka?
Do you agree?,Tu sahamat aahe ka?
Do you drink?,Tu piyat ka?
Do you smoke?,Tu sigaret khato ka?
Do your best!,Tujha best de!
Does it hurt?,Te dukhta ka?
Does it work?,Te kaam karto ka?
Don't ask me.,Mala vicharu nako.
Don't be sad.,Udas nako raha.
Don't be shy.,Laaj nako raha.
Don't bother.,Dharan nako.
Don't forget.,Te visru nako.
Don't get up.,Uthun nako.
Drive safely.,Sukhay chalav.
Drop the gun.,Te band kara!
Easy does it.,Sukhay raha.
Find the cat.,Billi shodha.
Get a doctor.,Ek doctor ghy.
Get my rifle.,Mala rifle ghy.
Ghosts exist.,Bhoot astat.
Go to school.,Shala ja.
Good for you.,Tujhya sathi chaan aahe.
Grab my hand.,Mala haath ghy.
Have a donut.,Ek donut ghy.
Have a drink.,Ek drink ghy.
Have a taste.,Ek chakh ghy.
He avoids me.,To mala avoid karto.
He could die.,To maru shakto.
He denied it.,Tyane te nakarale.
He found it.,Tyane te shodhla.
He got away.,To nishkal nighun gela.
He stood up.,To uthla.
I'll decide.,Mi nirnay ghet.
I'll get it.,Mi te ghen.
I'll try it.,Mi te prayatna karto.
I am hungry.,Mala bhook lagli aahe.
I am happy.,Mi khush aahe.
I am tired.,Mi thakla aahe.
I can swim.,Mi taru shakto.
I can dance.,Mi nachu shakto.
I can help.,Mi madat karu shakto.
I can read.,Mi vacha shakto.
I can write.,Mi lihoo shakto.
I love you.,Mi tujha prem karto.
I miss you.,Mala tujha avad aahe.
I need help.,Mala madat lagte.
I need water.,Mala paani lagte.
I want more.,Mala adhik avadate.
I want that.,Mala te lagte.
I want this.,Mala he lagte.
I want you.,Mala tu lagto.
I will try.,Mi prayatna karen.
I will wait.,Mi vaat karen.
I will walk.,Mi chaloo.
I will work.,Mi kaam karen.
I won again.,Mi punha jinklo.
I won't cry.,Mi rautu nahi.
I work here.,Mi ithe kaam karto.
I'll attend.,Mi yeth yein.
I'll buy it.,Mi te ghen.
I'll cancel.,Mi cancel karen.
I'll change.,Mi badal karen.
He dozed off.,To jhopla.
He dumped me.,Tyane mala soda dila.
He got angry.,To krodhit zala.
He had a dog.,Tyakde ek kutra hota.
He has a car.,Tyakde ek car aahe.
He has money.,Tyakde paisa aahe.
He helps her.,To tila madat karto.
He is a poet.,To ek kavi aahe.
He is asleep.,To jhopla aahe.
He is cranky.,To khatarnak aahe.
He is eating.,To khato aahe.
He is heroic.,To shoorvanar aahe.
He is not in.,To ithe nahi.
He kicked it.,Tyane te laath maarla.
He let me go.,Tyane mala jaoo dila.
He likes tea.,Tyala chai avadate.
He lost face.,Tyache maan gela.
He loves her.,To tila prem karto.
He mocked me.,Tyane mala thattha kela.
He needs you.,Tyala tujhi garaj aahe.
He shall die.,To maru shakto.
He wants one.,Tyala ek avadate.
He was alone.,To ekla hota.
He was brave.,To shoorvanar hota.
He was great.,To chaan hota.
He was lucky.,Tyala chaan avadla.
He was naive.,To naiv hota.
He was wrong.,Tyala chuk zali.
He will come.,To yein.
He will wait.,To vaat karin.
He's English.,To English aahe.
He's a bigot.,To ek bigot aahe.
He's in pain.,Tyala dukhtay.
He's married.,To lagna kela aahe.
He's my hero.,To maza hero aahe.
He's out now.,To ata baher aahe.
He's so cute.,To evadhya chaan aahe!
"Hello, girls.","Namaskar, mulya!"
"Hey, wait up!","Hey, thamb!"
How annoying!,Kasa ghabraavi aahe!
How did I do?,Mi kasa kela?
How horrible!,Kasa dukhdai aahe!
How romantic!,Kasa romantic aahe!
I admire you.,Mala tujha avad aahe.
I always win.,Mi sarvada jinkto.
I am Italian.,Mi Italian aahe.
I am ashamed.,Mala laaj vattate.
I am at home.,Mi gharat aahe.
I am curious.,Mi utsuki aahe.
I am married.,Mi lagna kela aahe.
I am so sick.,Mi evadhya arugya aahe.
I am thirsty.,Mala thandee lagli aahe.
I am working.,Mi kaam karto aahe.
I apologized.,Mala maafi maagli.
I ate apples.,Mi seb khaadle.
I ate caviar.,Mi kaviar khaadle.
I believe it.,Mi te vishwas karto.
I called him.,Mila tyala call kela.
I called you.,Mila tumhala call kela.
I can fix it.,Mi te theek karu shakto.
I can manage.,Mi sarabhar karu shakto.
I can't help.,Mi madat karu shakto nahi.
I can't move.,Mi haal chalav shakto nahi.
I can't sing.,Mi gaay shakto nahi.
I can't swim.,Mi taru shakto nahi.
I can't wait.,Mi vaat karu shakto nahi.
I caught Tom.,Mila Tom dharte.
I could help.,Mi madat karu shakto hoto.
I could walk.,Mi chaloo shakto hoto.
"I cried, too.",Mi pan rautalo.
I cut myself.,Mi swataha la jakhmi kela.
I deserve it.,Mi te layak aahe.
I did my job.,Mila maza kaam kela.
I did see it.,Mila te dista hota.
I didn't ask.,Mila vicharla nahi.
I didn't cry.,Mi rautalo nahi.
I didn't pay.,Mi bhugavla nahi.
I didn't win.,Mi jinkalo nahi.
I don't bite.,Mi katarto nahi.
I don't care.,Mala parva nahi.
I don't date.,Mi date karto nahi.
I don't know.,Mala mahit nahi.
I don't mind.,Mala parva nahi.
I doubt that.,Mala shanka aahe.
I drank milk.,Mi dudh pila.
I drink beer.,Mi beer pito.
I enjoyed it.,Mala te avadla.
I feel alive.,Mala jivant vattato.
I feel awful.,Mala dukhdai vattate.
I feel dizzy.,Mala ghabraavi vattate.
I feel faint.,Mala faint vattato.
I feel funny.,Mala vichitra vattate.
I feel giddy.,Mala ghabraavi vattate.
I feel happy.,Mala khush vattate.
I feel lucky.,Mala chaan avadla vattate.
I feel ready.,Mi tayar aahe vattato.
I feel silly.,Mala moorakh vattate.
I feel young.,Mala yuvak vattato.
I felt awful.,Mala dukhdai vattla.
I felt great.,Mala chaan vattla.
I felt happy.,Mala khush vattla.
I felt naked.,Mala nagna vattla.
I felt safer.,Mala surakshit vattla.
I go jogging.,Mi daud karto.
I go to work.,Mi kaamala jato.
I got carded.,Mala card maagli.
I got caught.,Mi dharte gelo.
I got dumped.,Mala soda dila.
I got fired.,Mala nighun dile.
I got fined.,Mala jharma lagla.
I got sleepy.,Mala jhop lagli.
I got soaked.,Mi bhijla.
I had doubts.,Mala shanka hoti.
I handled it.,Mi te sambhallela.
I hate beans.,Mala shengda avad nahi.
I hate flies.,Mala makhya avad nahi.
I hate liars.,Mala jhootay avad nahi.
I have a car.,Mala ek car aahe.
I have a cat.,Mala ek billyav aahe.
I have a dog.,Mala ek kutra aahe.
I have a pen.,Mala ek pen aahe.
I have hives.,Mala urticaria aahe.
I have needs.,Mala kahi garaj aahe.
I have plans.,Mala yojana aahe.
I have proof.,Mala praman aahe.
I have to go.,Mala jaave lagel.
I hear music.,Mala sangeet waatate.
I heard that.,Mala te mahit aahe.
I helped out.,Mi madat keli.
I hugged her.,Mi tyala godh ghetla.
I improvised.,Mi improvisation kela.
I just moved.,Mi ata chalu zala.
I keep a dog.,Mala kutra thevto.
I kissed Tom.,Mi Tom la chumban de.
I like China.,Mala China avadta.
I like R & B.,Mala R & B avadta.
I like bread.,Mala bhakri avadta.
I like chess.,Mala chess avadta.
I like fruit.,Mala phal avadta.
I like girls.,Mala mulgi avadta.
I like honey.,Mala madha avadta.
I like music.,Mala sangeet avadta.
I like opera.,Mala opera avadta.
I like sushi.,Mala sushi avadta.
I like these.,Mala he avadta.
I like women.,Mala mahilaa avadta.
I love books.,Mala pustake avadta.
I love bread.,Mala bhakri avadta.
I love games.,Mala khel avadta.
I love jokes.,Mala chutkule avadta.
I made a bet.,Mi ek pari kela.
I made plans.,Mi yojana tayar keli.
I made these.,Mi he tayar kele.
I might stay.,Mi thamboo shakto.
I missed you.,Mala tujha avadla.
I must hurry.,Mala jhatpat karaycha aahe.
I must leave.,Mala nighun javu lagel.
I must study.,Mala shikaycha aahe.
I need a car.,Mala ek car lagte.
I need a hug.,Mala godh ghetla lagto.
I need a job.,Mala ek naukri lagte.
I need a map.,Mala ek naksha lagto.
I need a pen.,Mala ek pen lagto.
I need money.,Mala paisa lagto.
I need sleep.,Mala zhop lagte.
I need space.,Mala sthal lagte.
I need sugar.,Mala sakhar lagte.
I need to go.,Mala jaave lagte.
I never lose.,Mi kadhi pan harat nahi.
I often read.,Mi adhik vaachto.
I play piano.,Mi piano vaachto.
I read books.,Mi pustake vaachto.
I rewrote it.,Mi te punha lihitla.
I said maybe.,Mi kela shayad.
I see a book.,Mi ek pustak pahato.
I see a lion.,Mi ek shere pahato.
I see a rose.,Mi ek gulab pahato.
I sell shoes.,Mi joothe vikto.
I started it.,Mi te shuru kela.
I still care.,Mala chinta aahe.
I suppose so.,Mi asa samajto.
I sympathize.,Mi sahaanubhuti karto.
I teach here.,Mi ithe shikato.
I thought so.,Mala asa vattla.
I took risks.,Mi jokhim ghetla.
I tried hard.,Mi jor prayatna kela.
I tried that.,Mi te prayatna kela.
I understand.,Mi samajto.
I understood.,Mi samajhla.
I want a lot.,Mala adhik lagte.
I want facts.,Mala tathya lagte.
I want proof.,Mala praman lagte.
I want these.,Mala he lagte.
I want to go.,Mala jaaycha aahe.
I was asleep.,Mi jhopla hota.
I was beaten.,Mi thokla zala.
I was burned.,Mi jhalala.
I was canned.,Mala nighun dila.
I was lonely.,Mi ekla hota.
I was shaken.,Mi ghabraavi zala.
I was sleepy.,Mala jhop lagli hoti.
I was stupid.,Mi moorkh hota.
I was warned.,Mala mahit hota.
I went twice.,Mi don veer gela.
I will fight.,Mi lada.
I will learn.,Mi shikoo.
I will shoot.,Mi goli chalavoo.
I won't cry.,Mi rautu nahi.
I wonder who.,Mi vichar karto koun aahe.
I wonder why.,Mi vichar karto kasa aahe.
I work alone.,Mi ekla kaam karto.
I wrote that.,Mi te lihitla.
I'd buy that.,Mi te ghen.
I'll ask him.,Mi tyala vichar karen.
I'll be back.,Mi parat yein.
I'll be fine.,Mi thik rahen.
I'll be late.,Mi berz yein.
I'll be nice.,Mi dayalu rahen.
I'll explain.,Mi samjhavto.
I'll get ice.,Mi ice ghen.
I'll get you.,Mi tujha ghen.
I'm freezing.,Mi jmadla aahe.
I'm grounded.,Mi jmadla aahe.
I'm gullible.,Mi naiv aahe.
I'm homesick.,Mala deshabhimani vattato.
I'm hungover.,Mala nashantar vattato.
I'm in Paris.,Mi Paris madhe aahe.
I'm innocent.,Mi nirdosh aahe.
I'm involved.,Mi samanvit aahe.
I'm managing.,Mi sarabhar karto aahe.
I'm new here.,Mi ithe naveen aahe.
I'm no rebel.,Mi ek bidrohi nahi aahe.
I'm no saint.,Mi ek sant nahi aahe.
I'm not busy.,Mi vyast nahi aahe.
I'm not deaf.,Mi andha nahi aahe.
I'm not done.,Mi purn zalo nahi.
I'm not dumb.,Mi moorakh nahi aahe.
I'm not evil.,Mi durgandh nahi aahe.
I'm not here.,Mi ithe nahi aahe.
I'm not home.,Mi gharat nahi aahe.
I'm not hurt.,Mi jakhmi nahi aahe.
I'm not mean.,Mi khatarnak nahi aahe.
I'm not rich.,Mi dhanwan nahi aahe.
I'm not sure.,Mala khatra nahi.
I'm not tall.,Mi uchch nahi aahe.
I'm not ugly.,Mi kupa nahi aahe.
I'm not well.,Mi thik nahi aahe.
I'm off-duty.,Mi duty var nahi aahe.
I'm offended.,Mi apamaanik zalo aahe.
I'm outraged.,Mi krodhat aahe.
I'm powerful.,Mi balwan aahe.
I'm prepared.,Mi tayar aahe.
I'm punctual.,Mi samayik aahe.
I'm rational.,Mi yuktivaadi aahe.
I'm reformed.,Mi sudharit zalo aahe.
I'm reliable.,Mi vishvasaniya aahe.
I'm restless.,Mi asthir aahe.
I'm ruthless.,Mi ruthless aahe.
I'm shooting.,Mi goli chalavto aahe.
I'm sleeping.,Mi jhopato aahe.
I'm so sorry.,Mi evadhya maaf karto!
I'm so tired!,Mi evadhya thakla aahe!
I'm speaking.,Mi boltoy aahe.
I'm starving!,Mi bhukha aahe!
I'm starving.,Mi bhukha aahe.
I'm stubborn.,Mi khati aahe.
I'm the boss.,Mi boss aahe.
I'm thinking.,Mi vichar karto aahe.
I'm thorough.,Mi suksham aahe.
I'm thrilled.,Mi utteejit aahe.
I'm ticklish.,Mi chatkarun aahe.
I'm too busy.,Mi jasta vyast aahe.
I'm truthful.,Mi satya boltoy.
I'm unbiased.,Mi nishpaksh aahe.
I'm upstairs.,Mi upar aahe.
I'm very fat.,Mi jasta motta aahe.
I'm very sad.,Mi jasta udas aahe.
I'm very shy.,Mi jasta laaj aahe.
I'm worn out.,Mi thakla aahe.
I've checked.,Mila parakhin kela.
I've decided.,Mila nirnay ghetla.
I've done it.,Mila te kela.
I've got you.,Mila tujha ghetla.
I've lost it.,Mila te ghavallay.
I've no idea.,Mala kahi khabar nahi.
I've retired.,Mila naukri mukta zala.
I've seen it.,Mila te baghitla.
Iron is hard.,Loha khatarnak aahe.
Is Tom alive?,Tom jivit aahe ka?
Is Tom drunk?,Tom nashili aahe ka?
Is Tom there?,Tom ithe aahe ka?
Is it a deal?,He ek deal aahe ka?
Is it a deer?,He ek haran aahe ka?
Is it a joke?,He ek mazak aahe ka?
Is it a wolf?,He ek bherda aahe ka?
Is it an elk?,He ek elk aahe ka?
Is it broken?,Te tootla aahe ka?
Is it cancer?,He cancer aahe ka?
Is it cloudy?,Aakaash meghali aahe ka?
Is it enough?,He jmapte ka?
Is it nearby?,Te jvadich aahe ka?
Is that a no?,He ek nahi aahe ka?
Is that love?,He prem aahe ka?
Is that true?,He khare aahe ka?
Is this fake?,He fake aahe ka?
Is this love?,He prem aahe ka?
Is this wine?,He madira aahe ka?
It amazed me.,Mala te aashcharya vattla.
It felt good.,Mala chaan vattla.
It has begun.,Te suru jhala aahe.
It is a book.,He ek pustak aahe.
It is a song.,He ek geet aahe.
It is my cat.,He maza billyav aahe.
It is unfair.,He anyayik aahe.
It isn't new.,He naveen nahi aahe.
It scared me.,Mala te bheeti vattli.
It took time.,Tyala vel lagla.
It was black.,Te kala hota.
It was night.,Raat hoti.
It was noisy.,Te galabit hota.
It was white.,Te panda hota.
It wasn't me.,Te mi navel hoto.
It will burn.,Te jhalel.
It will heal.,Te barel.
It'll happen.,Te ghad.
It's a curse.,He ek shrap aahe.
It's a shame.,He ek lajjaspad goshta aahe.
It's all wet.,Sarva bhijla aahe.
It's awesome.,He adbhut aahe.
It's bedtime.,Jhopaycha vel aahe.
It's complex.,He kshubdh aahe.
It's for you.,He tujhya sathi aahe.
It's garbage.,He kachra aahe.
It's hideous.,He dukhdai aahe.
It's missing.,Te ghavallay aahe.
It's morning.,Savar aahe.
It's my book.,He maza pustak aahe.
It's my turn.,He maza vad aahe.
It's no good.,He chhan nahi aahe.
It's no joke.,He ek mazak nahi aahe.
It's not new.,He naveen nahi aahe.
It's nothing.,He kahi nahi aahe.
It's obvious.,He spasht aahe.
It's on fire.,Te jvalta aahe.
It's our car.,He aamchi car aahe.
It's perfect.,He parfait aahe.
It's serious.,He gambhir aahe.
It's snowing.,Paavas yeto aahe.
It's started.,Te suru jhala aahe.
It's suicide.,He atmahatya aahe.
It's the law.,He kanoon aahe.
It's too big.,He jasta motta aahe.
